English,Bengali
I see.,বুঝলাম।
I try.,আমি চেষ্টা করি।
Get up.,ওঠো।
Got it!,বুঝে গেছি!
Got it?,বুঝেছো?
I know.,আমি জানি।
I lost.,আমি হেরে গেছি।
I'm 19.,আমার ১৯ বছর বয়স।
I'm OK.,আমি ঠিক আছি।
No way!,কোন মতেই না!
Try it.,চেখে দেখুন।
We won.,আমরা জিতে গেছে।
Why me?,আমিই কেন?
Ask Tom.,টমকে জিজ্ঞাসা করো।
Call me.,আমাকে ডেক।
Call us.,আমাদের ডেকো।
Come in.,ভেতরে আসুন।
Get Tom.,টমকে আনো।
Get out.,বেরও।
Go away!,চলে যাও!
Go away.,চলে যাও।
Go home.,বাড়ি যাও।
Go slow.,আস্তে যান।
He came.,সে এসেছিলো।
He runs.,এ দৌড়ায়।
Help me!,আমাকে সাহায্য করুন!
Help us.,আমাদের সাহায্য করুন।
Hit Tom.,টমকে মারো।
I agree.,আমি একমত।
I tried.,আমি চেষ্টা করেছিলাম।
I'm Tom.,আমি টম।
I'm shy.,আমি লাজুক।
I'm wet.,আমি ভিজে গেছি।
It's me.,আমি।
Keep it.,ওটা রাখো।
"Me, too.",আমিও।
Show me.,আমাকে দেখান।
Take it.,এটা নিন।
Tell me.,আমাকে বল।
Tom ate.,টম খেয়েছিল।
Tom ran.,টম দৌড়াল।
Tom won.,টম জিতল।
Wake up.,ঘুম থেকে ওঠ।
We lost.,আমরা হেরে গেছি।
Who ate?,কে খেয়েছিল?
Who ran?,কে দৌড়াল?
Who won?,কে জিতল?
Why not?,কেন নয়?
You run.,তুমি দৌড়াও।
You won.,তুমি জিতলে।
Be quiet.,চুপ কর।
Call Tom.,টমকে ডাকো।
Don't go.,যেও না।
Get lost!,যাও এখান থেকে!
Grab Tom.,টমকে ধরো।
Have fun.,আনন্দ কর।
He spoke.,উনি বললেন।
He tries.,উনি চেষ্টা করেন।
Help Tom.,টমকে সাহায্য করো।
How deep?,কতটা গভীর?
Hurry up.,তাড়াতাড়ি করো।
I can go.,আমি যেতে পারি।
I forgot.,আমি ভুলে গেছি।
I get it.,আমি বুঝতে পারলাম।
I got it.,আমি বুঝেছি।
I refuse.,আমি অস্বীকার করছি।
I stayed.,আমি থাকলাম।
I use it.,আমি এটা ব্যবহার করি।
I waited.,আমি অপেক্ষা করলাম।
I'm back.,আমি এসে গেছি।
I'm busy.,আমি ব্যস্ত।
I'm cold.,আমার শীত করছে।
I'm fine.,আমি ঠিক আছি।
I'm full.,আমার পেট ভরতি হয়ে গেছে।
I'm home.,আমি এসে গেছি।
I'm lazy.,আমি কুঁড়ে।
I'm lost.,আমি হারিয়ে গেছি।
I'm okay.,আমি ঠিক আছি।
I'm poor.,আমি গরিব।
I'm sick.,আমি অসুস্থ।
I'm well.,আমি ভালো আছি।
I've won.,আমি জিতে গেছি।
It's new.,এটা নতুন।
Kiss Tom.,টমকে চুমু করুন।
Leave it.,ছাড়ো।
Leave me.,আমাকে চেড়ে দাও।
Leave us.,আমাদের চেড়ে দাও।
Let's go!,যাওয়া যাক!
Let's go.,যাওয়া যাক।
Sit down!,বসো!
Sit down.,বসুন।
Speak up!,জোরে বলো!
Stand up!,দাঁড়াও!
Stand up.,দাঁড়াও।
Stop Tom.,টমকে থামান।
Tell Tom.,টমকে বলো।
They won.,তারা জিতলো।
Tom came.,টম এলো।
Tom died.,টম মারা গেছে।
Tom knew.,টম জানতো।
Tom lied.,টম মিথ্যা কথা বললো।
Tom lies.,টম মিথ্যে বলে।
Tom lost.,টম হেরে গেলো।
Trust me.,আমাকে বিশ্বাস করো।
Try hard.,আরও চেষ্টা করো।
Use this.,এটা ব্যবহার কর।
We agree.,আমরা একমত।
We tried.,আমরা চেষ্টা করেছিলাম।
What for?,কি জন্যে?
What fun!,কি মজা!
Who came?,কে এসেছিলো?
Who fell?,কে পড়লো?
Who's he?,উনি কে?
Answer me.,আমার প্রশ্নের জবাব দিন।
Birds fly.,পাখি ওড়ে।
Calm down.,শান্ত হোন।
Can I eat?,আমি কি খেতে পারি?
Don't cry.,কেঁদো না।
Go inside.,ভেতরে যান।
How weird!,কি অদ্ভুত!
I am cold.,আমার শীত করছে।
I am okay.,আমি ঠিক আছি।
I am sick.,আমি অসুস্থ।
I am well.,আমি ভালো আছি।
I can run.,আমি দৌড়াতে পারি।
I can ski.,আমি স্কী করতে পারি।
I fainted.,আমি অজ্ঞান হয়ে গেলাম।
I hit Tom.,আমি টমকে মারলাম।
I saw him.,আমি তাকে দখতে পেলাম।
I want it.,আমার এটা চাই।
I will go.,আমি যাবো।
I'll talk.,আমি কথা বলব।
I'm awake.,আমি জেগে আছি।
I'm broke.,আমি দেউলিয়া হয়ে গেছি।
I'm clean.,আমি পরিষ্কার।
I'm ready.,আমি তৈরি।
I'm right.,আমিই ঠিক।
I'm sorry.,ক্ষমা করবেন।
I'm tired.,আমি ক্লান্ত।
It's 7:45.,এখন ৭:৪৫।
It's late.,দেরী হয়ে গেছে।
It's mine.,এটা আমার।
It's ours.,এটা আমাদের।
Leave Tom.,টমকে ছাড়ো।
Let me go!,আমাকে যেতে দাও!
Let me in.,আমাকে ঢুকতে দিন।
Let us in.,আমাদের ঢুকতে দিন।
Let's ask.,জিজ্ঞাসা করা যাক।
May I eat?,আমি কি খেতে পারি?
Of course!,নিশ্চই!
Of course.,নিশ্চই।
Pardon me?,কী বললেন?
See above.,উপরে দেখুন।
See below.,নীচে দেখুন।
She walks.,উনি হাঁটেন।
Sign here.,এখানে সই করুন।
Slow down.,আস্তে চালান।
Stay here.,এখানে দাঁড়ান।
Then what?,তাহলে?
Tom tried.,টম চেষ্টা করলো।
Tom tries.,টম চেষ্টা করে।
Tom voted.,টম ভোট দিলো।
Tom walks.,টম হাঁটে।
Tom's shy.,টম লাজুক।
Trust Tom.,টমকে বিশ্বাস করুন।
Try again.,আবার চেষ্টা করুন।
Turn left.,বাঁদিকে ঘুরুন।
Wait here.,এখানে অপেক্ষা করুন।
Watch Tom.,টমের উপর নজর রাখো।
Watch out!,দেখে!
We failed.,আমরা অসফল হলাম।
We forgot.,আমরা ভুলে গেলাম।
We saw it.,আমরা দেখেছি।
We'll try.,আমরা চেষ্টা করব।
We'll win.,আমরাই জিতব।
We're shy.,আমরা লাজুক।
What's up?,কি খবর?
Who cares?,কার কী এসে যায়?
Who is he?,উনি কে?
Who is it?,কে?
Who's she?,উনি কে?
You drive.,তুমি চালাও।
Be careful.,সাবধানে।
Birds sing.,পাখি গান গায়।
Come again.,আবার আসবেন।
Don't come.,এসো না।
Don't talk!,কথা বলবেন না!
Don't talk.,কথা বোল না।
Fill it up.,ভর্তি করে দিন।
Follow Tom.,টমকে অনুসরণ করো।
Forget Tom.,টমকে ভুলে যাও।
Forget him.,ওকে ছাড়ুন।
God exists.,ভগবান আছে।
Good night.,শুভ রাত্রি।
He is nice.,উনি বেশ।
I am ready.,আমি তৈরি।
I can read.,আমি পড়তে পারি।
I can swim.,আমি সাঁতার কাটতে পারি।
I eat here.,আমি এখানে খাই।
I eat meat.,আমি মাংস খাই।
I got sick.,আমি অসুস্থ হয়ে পরেছিলাম।
I have one.,আমার একটা আছে।
I have won.,আমি জিতে গেছি।
I heard it.,আমি শুনেছি।
I just ate.,আমি এই সবে খেলাম।
I like him.,আমি ওনাকে পছন্দ করি।
I like tea.,আমার চা ভালো লাগে।
I love you.,আমি তোমাকে ভালবাসি।
I need ice.,আমার বরফ চাই।
I promised.,আমি প্রতিশ্রুতি দিলাম।
I ran away.,আমি পালিয়ে গেছিলাম।
I ran home.,আমি বাড়ি পালিয়ে গেছিলাম।
I sat down.,আমি বসে পরেছিলাম।
I saw that.,আমি সেটা দেখেছিলাম।
I saw them.,আমি তাদের দেখতে পেলাম।
I screamed.,আমি চিৎকার করলাম।
I was away.,আমি বাইরে ছিলাম।
I was late.,আমার দেরি হয়ে গেছিল।
I was lost.,আমি হারিয়ে গেছিলাম।
I'm for it.,আমি এর পক্ষে।
I'm inside.,আমি ভেতরে আছি।
I'm so mad.,আমি একদম পাগল।
Is it here?,ওটা কি এখানে আছে?
Is that so?,তাই বুঝি?
Keep quiet!,চুপ করো!
Keep quiet.,চুপ কর।
Leave town.,শহর ছাড়ো!
Let's chat.,গল্প করা যাক।
Let's talk.,কথা বলা যাক।
Let's walk.,হাঁটা যাক।
Look there.,ওইদিকে দেখুন।
Never mind!,ছাড়!
No problem!,কোনো অসুবিধা নেই!
No problem.,কোনো অসুবিধা নেই।
"Oh, really?","ও, তাই নাকি?"
Once again.,আর একবার।
She smiled.,সে হাঁসলো।
Stay there.,ওখানেই থাকো।
Step aside.,সরে যান।
Stop there.,ওখানেই থামুন।
Time is up.,সময় শেষ।
Tom helped.,টম সাহায্য করলো।
Tom nodded.,টম মাথা নাড়লো।
Tom saw it.,টম সেটা দেখলো।
Tom sighed.,টম দীর্ঘশ্বাস ছাড়লো।
Tom smiled.,টম হাসলো।
Tom snores.,টম নাক ডাকে।
Tom winked.,টম চোখ মারলো।
Tom yawned.,টম হাই তুললো।
Tom yelled.,টম চিৎকার করলো।
Tom's dead.,টম মৃত।
Tom's deaf.,টম বধির।
Tom's died.,টম মারা গেছে।
Tom's hurt.,টম আহত হয়েছে।
Tom's sick.,টম অসুস্থ।
Turn right.,ডানদিকে ঘোরো।
Watch this.,এটা দেখুন।
We want it.,আমার এটা চাই।
We'll help.,আমরা সাহায্য করব।
We'll sing.,আমরা গান করবো।
We'll wait.,আমরা অপেক্ষা করব।
We'll work.,আমরা কাজ করবো।
We're here.,আমরা এখানে আছি।
We're lost.,আমরা হারিয়ে গেছি।
Who are we?,আমরা কারা?
Who has it?,কার কাছে আছে?
Who is she?,উনি কে?
Who was it?,কে ছিলো?
Who's that?,ওটা কে?
You called?,তুমি ডেকেছিলে?
Are we done?,আমাদের কি হয়ে গেছে?
Contact Tom.,টমের সঙ্গে যোগাযোগ করুন।
Did Tom eat?,টম কি খেয়েছে?
Do it again!,আবার করুন!
Don't argue.,তর্ক করবেন না।
Don't fight.,লড়াই করবেন না।
Don't speak.,কথা বোল না।
Forgive Tom.,টমকে ক্ষমা করে দিন।
He can come.,উনি আসতে পারেন।
He can read.,উনি পড়তে পারেন।
He stood up.,উনি উঠে দাঁড়ালেন।
How are you?,তুমি কেমন আছো?
I am taller.,আমি বেশি লম্বা।
I apologize.,আমি ক্ষমা চাইছি।
I came back.,আমি ফিরে এলাম।
I can dance.,আমি নাচতে পারি।
I can't say.,আমি ঠিক বলতে পারবো না।
I don't cry.,আমি কাঁদি না।
I eat bread.,আমি পাঁউরুটি খাই।
I feel cold.,আমার শীত করছে।
I feel fine.,আমার ভাল লাগছে।
I feel good.,আমার ভাল লাগছে।
I feel well.,আমার ভাল লাগছে।
I felt that.,আমি ওটা অনুভব করলাম।
I had a cat.,আমার একটা বেড়াল ছিলো।
I have time.,আমার সময় আছে।
I know this.,আমি এটা জানি।
I like both.,আমার দুটোই পছন্দ।
I like cake.,আমি কেক পছন্দ করি।
I like math.,আমার অঙ্ক ভালো লাগে।
I like rice.,আমি ভাত পছন্দ করি।
I live here.,আমি এখানে বাস করি।
I need help.,আমার সাহায্য দরকার।
I need time.,আমার সময় দরকার।
I trust Tom.,আমি টমকে বিশ্বাস করি।
I trust you.,আমি আপনাকে বিশ্বাস করি।
I want more.,আমার আরো চাই।
I want this.,আমার এটা চাই।
I want time.,আমার সময় চাই।
I was alone.,আমি একা ছিলাম।
I was there.,আমি ওখানে ছিলাম।
I was tired.,আমি ক্লান্ত ছিলাম।
"I went, too.",আমিও গেছিলাম।
I won't lie.,আমি মিথ্যা বলবো না।
I work here.,আমি এখানি কাজ করি।
I'll buy it.,আমি এটা কিনবো।
I'll scream.,আমি চেঁচাবো।
"I'm 17, too.",আমিও ১৭।
I'm a woman.,আমি একজন মহিলা।
I'm dancing.,আমি নাচছি।
I'm healthy.,আমি সুস্থ।
I'm not Tom.,আমি টম নই।
I'm reading.,আমি পড়ছি।
I'm talking.,আমি কথা বলছি।
I'm thirsty.,আমার তেষ্টা পেয়েছে।
Is Tom here?,টম কি এখানে আছে?
Is Tom home?,টম কি বাড়িতে আছে?
Is Tom well?,টম কি ভালো আছে?
Is that all?,অার কিছু?
It can't be!,এটা হতে পারে না!
It may snow.,বরফ পরতে পারে।
Look at Tom.,টমের দিকে তাকান।
Many thanks.,অনেক ধন্যবাদ।
That's mine.,ওটা আমার।
They yelled.,তারা চিৎকার করলো।
This is new.,এটা নতুন।
Tom frowned.,টম ভ্রূকুটি করলো।
Tom got mad.,টম রেগে গেছিলো।
Tom inhaled.,টম নিশ্বাস ছাড়লো।
Tom is dead.,টম মৃত।
Tom is hurt.,টম আহত হয়েছে।
Tom is sick.,টম অসুস্থ।
Tom laughed.,টম হাঁসলো।
Tom left me.,টম আমাকে ছেড়ে চলে গিয়েছিল।
Tom saw her.,টম তাকে দেখলো।
Tom saw him.,টম তাকে দেখলো।
Tom saw you.,টম আপনাকে দেখলো।
Tom shouted.,টম চিৎকার করলো।
Tom's alive.,টম বেঁচে আছে।
Tom's alone.,টম একলা আছে।
Tom's right.,টমই ঠিক।
Tom's tired.,টম ক্লান্ত।
Walk slowly.,আস্তে হাঁটুন।
We are here.,আমরা এখানে আছি।
We ate eggs.,আমরা ডিম খেয়েছি।
We're twins.,আমরা জমজ।
What'd I do?,আমি কি করলাম?
What's that?,ওটা কী?
What's this?,এটা কী?
Who are you?,তুমি কে?
You fainted.,তুমি অজ্ঞান হয়ে গেছিলে।
Anybody here?,কেউ আছেন?
Anybody home?,বাড়িতে কেউ আছেন?
Are we ready?,আমরা কি তৈরি?
Are you sick?,তুমি কি অসুস্থ?
Are you sure?,তুমি নিশ্চিত তো?
Can you read?,তুমি পড়তে পারো?
Come outside.,বাইরে আসো।
Come with me.,আমার সাথে এসো।
Drive slowly.,আস্তে গাড়ি চালান।
Ghosts exist.,ভুত আছে।
Good evening.,শুভ সন্ধ্যা।
Good morning.,সুপ্রভাত।
Grab my hand.,আমার হাতটা ধরুন।
He got angry.,সে রেগে গেছিলো।
He is eating.,উনি খাচ্ছেন।
Hold my hand.,আমার হাতটা ধরুন।
I don't care.,আমি পরোয়া করি না।
I don't know.,আমি জানি না।
I drink beer.,আমি বিয়ার খাই।
I teach here.,আমি এখানে পড়াই।
I understand.,আমি বুঝি।
I was amazed.,আমি অবাক হয়ে গেছিলাম।
I will fight.,আমি লড়বো।
I won't come.,আমি আসবো না।
I won't lose!,আমি হারবো না।
I'll be late.,আমার দেরী হবে।
I'm a doctor.,আমি ডাক্তার।
I'm pregnant.,আমি গর্ভবতী।
I'm speaking.,আমি কথা বলছি।
I'm too busy.,আমি খুব ব্যস্থ আছি।
I've seen it.,আমি এটা দেখেছি।
Is Tom there?,টম কি ওখানে আছে?
It's too low.,খুব নিচু।
Let go of me.,আমাকে ছেড়ে দিন।
Let me speak.,আমাকে বলতে দাও।
Let's review.,পুনর্বিচার করা যাক।
My arm hurts.,আমার হাত ব্যাথা করছে।
My feet hurt.,আমার পা ব্যাথা করছে।
My hip hurts.,আমার কোমর ব্যাথা করছে।
My jaw hurts.,আমার মারি ব্যাথা করছে।
Now fix that.,এবার ওটা ঠিক করো।
Please hurry.,একটু তারাতারি করুন।
Someone came.,কেউ একজন এসেছিলেন।
Stay at home.,বাড়িতেই থাকুন।
Step outside.,বাইরে আসো।
Stop yelling.,চিৎকার করা বন্ধ করো।
That is mine.,ওটা আমার।
